16,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
17,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
18,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
19,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
20,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
21,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
22,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
23,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
16,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
17,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
18,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
19,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
20,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
21,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
22,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
23,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
24,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
25,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
26,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
27,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
28,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
29,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
30,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
31,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 0
24,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
25,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
26,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
27,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
28,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
29,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
30,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
31,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 0
32,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
33,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
34,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
35,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
36,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
37,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
38,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
39,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
32,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
33,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
34,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
35,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
36,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
37,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
38,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
39,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
40,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
41,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
42,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
43,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
44,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
45,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
46,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
47,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 1
40,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
41,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
42,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
43,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
44,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
45,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
46,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
47,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 1
48,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
49,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
50,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
51,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
52,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
53,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
54,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
55,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
48,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
49,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
50,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
51,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
52,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
53,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
54,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
55,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
56,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
57,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
58,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
59,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
60,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
61,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
62,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
63,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 2
56,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
57,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
58,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
59,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
60,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
61,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
62,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
63,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 2
64,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
65,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
66,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
67,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
68,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
69,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
70,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
71,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
64,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
65,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
66,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
67,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
68,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
69,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
70,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
71,VacGenerator,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
72,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
73,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
74,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
75,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
76,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
77,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
78,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
79,,CAN Inputs P318 Module (fw=v2.1.0) @ Address 3
72,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
73,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
74,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
75,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
76,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
77,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
78,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
79,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 3
80,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
81,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
82,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
83,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
84,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
85,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
86,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
87,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
88,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
89,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
90,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
91,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
92,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
93,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
94,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4
95,,CAN Outputs P317 Module (fw=v2.1.0) @ Address 4